X,Y,OBJECTID,PNT_GIS_ID,NAME,ORG_NAME,CATEGORY,POSTAL_CODE,PHONE_NO,PHONE_EXT,MAIN_INTERSECTION,TYPE,SUBSIDIZED,CWELCC,PROVIDDISP,FULL_ADDRESS,UNIT_NUMBER,COMMUNITY,MUNICIPALITY
641594.238,4861106.7747,1,16264,First Academy Montessori East,1347457 Ontario Inc.,Child Care Centre,L6B 1A8,(905) 471-0732,,16th Ave/ 9th Line,Centre Based Child Care,Yes,No,FIRST10,8961 Ninth Line,,Markham,Markham
625991.125,4856044.75,2,115343,Kidz World Childcare Centre - Richmond Hill,2046508 Ontario Inc.,Child Care Centre,L4C 6V6,(905) 881-2713,,Yonge Street & Rutherford Road,Centre Based Child Care,Yes,Yes,KIDZ 04,6 Scott Drive ,Unit 101,Richmond Hill,Richmond Hill
618899.7968,4854586.6884,3,392134,Goodness Childcare Centre,2411544 Ontario Inc.,Child Care Centre,L4K 0H1,(905) 553-8900,,Melville Road & Rutherford Road,Centre Based Child Care,Yes,Yes,GOODN01,"2620 Rutherford Road, ",Unit 101,Vaughan,Vaughan
623373.125,4851684.75,4,189297,Mini Einstein Daycare,2710010 Ontario Inc.,Child Care Centre,L4J 3M9,(905) 597-6464,,Dufferin Street & Centre Street,Centre Based Child Care,Yes,Yes,MINI 01,1238 Centre Street,,Vaughan,Vaughan
626183.6027,4857307.2048,5,352322,Open Arms Nursery,798518 Ontario Inc.,Child Care Centre,L4C 0A4,(905) 508-1000,,Yonge /16th Avenue,Centre Based Child Care,Yes,Yes,OPEN 02,31 Marshall Street,,Richmond Hill,Richmond Hill
618165.6536,4865242.0156,6,213682,Kidz World Child Care Centre -  King,804762 Ontario Limited,Child Care Centre,L7B 1G1,(905) 833-0868,,Keele Street & King Road,Centre Based Child Care,Yes,Yes,KIDZ 03,13097 Keele Street North,,King City,King
630457.6252,4856210.9154,7,113706,Academia Concept Educational Centre,Academia Concept Educational Centre,Child Care Centre,L4B 1J8,(647) 478-6788,,Hwy 7 & Leslie St,Centre Based Child Care,Yes,Yes,ACADE03,"100 York Blvd, ",Unit 100,Richmond  Hill,Richmond Hill
639141.2339,4863026.9777,8,353563,ACE MONTESSORI,,Child Care Centre,L3P 3J3,(905) 472-9899,,Major Mackenzie Drive East & Markham Road,Centre Based Child Care,Yes,Yes,ACE M01,9899 Markham Road,,Markham,Markham
625908.25,4856590.0,9,112612,Active Kidz Daycare Centre,Active Kidz Daycare Centre Inc.,Child Care Centre,L4C 7A2,(905) 764-8787,,Yonge Street & 16th Avenue,Centre Based Child Care,Yes,Yes,ACTIV01,9206 Yonge Street 2nd Floor,,Richmond Hill,Richmond Hill
623445.2458,4855893.9903,10,234377,Advanced Care & Education Inc. (Thornhill),Advanced Care & Education Daycare Inc. (Thornhill),Child Care Centre,L6A 1S2,(905) 764-9555,,Bathurst Street & Rutherford Road,Centre Based Child Care,Yes,Yes,ADVAN06,941 Rutherford Road,,Maple,Vaughan
637067.7187,4854357.7375,11,42609,Upper Canada Child Care at Aldergrove PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3R 6Z8,(905) 470-4029,,Denison Street & Old Kennedy Road,Centre Based Child Care,Yes,Yes,UPPER02,150 Aldergrove Drive,,Unionville,Markham
620253.608,4879116.145,12,340597,Alexander Muir YMCA Child Care,YMCA of Greater Toronto,Child Care Centre,L3X 3G1,(905) 868-9622,,Yonge Street & Davis Drive,Centre Based Child Care,Yes,Yes,ALEXA02,75 Ford Wilson Boulevard,,Newmarket,Newmarket
641912.011,4861161.6416,13,353462,All About Kids Day Care,All About Kids Inc.,Child Care Centre,L6B 1B6,(905) 201-1706,,Ninth Line North of Highway 7,Centre Based Child Care,Yes,Yes,ALL A01,17 Cornell Meadows Avenue ,Unit 1 & 2,Markham,Markham
641920.0223,4861118.4586,14,293534,All About Kids - Cornell 2,All About Kids Inc.,Child Care Centre,L6B 1B6,(905) 201-1706,,9th Line Cornell Park Avenue,Centre Based Child Care,Yes,Yes,ALL A02,96 Cornell Park Drive ,Unit 3,Markham,Markham
641226.625,4862676.25,15,37063,All Smiles Childcare Centre,2123569 Ontario Ltd.,Child Care Centre,L6E 1K7,(905) 294-1144,,9th Line & Bur Oak Avenue,Centre Based Child Care,Yes,Yes,ALL S01,8 Green Hollow Court,,Markham,Markham
634789.5966,4854376.9529,16,57468,All Saints' Montessori School,The Churchwardens of the Church of All Saints in the Town of Markham,Child Care Centre,L3R 0Z4,(905) 946-1586,,Warden Avenue & Denison Street,Centre Based Child Care,Yes,Yes,ALL S03,1100 Denison Street,,Markham,Markham
622243.906,4872849.0,17,232397,Angelic Treasures Christian Daycare- Aurora,11760483 CANADA INCORPORATED,Child Care Centre,L4G 2N9,(647) 812-1179,,Wellington Street & Yonge Street,Centre Based Child Care,Yes,Yes,ANGEL01,101-126 wellington street West,,Aurora,Aurora
622984.5198,4879193.9076,18,190296,Angelic Treasures Christian Daycare - Newmarket,2719833 Ontario Inc.,Child Care Centre,L3Y 2G5,(905) 898-5437,,Davis Dr & Lorne Ave,Centre Based Child Care,Yes,Yes,ANGEL02,337 Queen Street,,Newmarket,Newmarket
634978.6159,4861831.7163,19,372527,Angus Glen Montessori,Angus Glen Montessori Inc.,Child Care Centre,L6C 0M4,(905) 534-5200,,Kennedy Road & Major Mackenzie Drive,Centre Based Child Care,Yes,No,ANGUS02,10000 Kennedy Road,,Markham,Markham
623373.8237,4857402.5396,20,389724,Anne Frank Public Elementary School,,Child Care Centre,L6A 0X2,(905) 265-7458,,Major Mac/Ilan Ramon,Centre Based Child Care,Yes,Yes,ANNE 01,431 Ilan Ramon Boulevard,,Vaughan,Vaughan
638496.8714,4869360.2269,21,269688,Apple Blossoms Center Stouffville,Apple Blossoms Center Stouffville Inc.,Child Care Centre,L4A 8C1,(905) 642-2888,,Markham Rd. & Main St.,Centre Based Child Care,Yes,Yes,APPLE08,21 Ringwood Drive,,Stouffville,Whitchurch-Stouffville
618375.8532,4850243.4929,22,412296,Apple Mill Road YMCA Child Care (David Braley) CC),YMCA of Greater Toronto,Child Care Centre,L4K 0J8,(905) 326-9622 ,Ext.7,Jane St & Highway 7,Centre Based Child Care,Yes,Yes,APPLE09,200 Apple Mill Road,,Vaughan,Vaughan
638868.0716,4855225.0038,23,36084,Armadale Child Care Centre,Family Day Care Services,Child Care Centre,L3S 2J4,(905) 472-5497,,McCowan Road & Denison Avenue,Centre Based Child Care,Yes,Yes,ARMAD01,11 Coppard Avenue,,Markham,Markham
622719.2694,4876724.2951,24,127385,Upper Canada Child Care at Armitage Village PS,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3X 1R1,(905) 830-9719,,Yonge Street & Mulock Drive,Centre Based Child Care,Yes,Yes,UPPER03,125 Savage Road,,Newmarket,Newmarket
625335.4311,4880809.0168,25,155628,Upper Canada Child Care Nursery School,Upper Canada Creative Child Care Centres of Ontari,Child Care Centre,L3Y 2W9,(905) 898-3708,,Davis Drive & Leslie Street,Centre Based Child Care,Yes,Yes,UPPER04,1035 Wayne Drive,,Newmarket,Newmarket
625586.1642,4880914.2995,26,291507,Art of Life Nursery and Montessori School,Art of Life Nursery and Montessori School Inc.,Child Care Centre,L3Y 3E3,(905) 953-8898,,Leslie Street & Davis Drive,Centre Based Child Care,Yes,Yes,ART O05,18- 17665 Leslie Street,,Newmarket,Newmarket
623331.2188,4879527.2551,27,149212,Simcoe Street Montessori School,Simcoe Steet Montessori School Inc.,Child Care Centre,L3Y 2M5,(905) 836-9898,,Davis Drive & Main Street,Centre Based Child Care,Yes,Yes,SIMCO03,443 Simcoe Street,,Newmarket,Newmarket
